Comune Latitudine Longitudine Codice PL97 PL98 PL99 PL00 PL01 PL02 PL03 PL04 PL05 PL06 PL07 PL08 PL09 PL10 PL11
BagnolodiPo 45.016667 11.501389 535 0 0 0 0 0 0 0 0 0 14 14 14 14 14 14
Bergantino 45.062222 11.252500 536 42 42 42 42 42 42 62 62 62 62 62 62 62 62 62
Bosaro 45.004722 11.771667 537 10 10 10 14 14 12 15 15 15 20 15 15 15 8 8
Calto 44.993056 11.357500 538 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Canaro 44.938333 11.676389 539 58 58 58 58 56 52 52 56 52 52 56 60 60 60 60
Canda 45.035556 11.509722 540 0 0 0 0 0 0 0 8 0 8 0 0 0 0 0
Castelguglielmo 45.025278 11.538056 541 0 0 0 0 0 0 0 0 0 0 8 8 8 0 0
Castelmassa 45.018056 11.309444 542 48 50 50 50 50 60 41 41 41 41 41 41 25 25 25
CastelnovoBariano 45.028889 11.286667 543 0 0 0 0 0 0 0 0 0 0 6 10 11 11 9
Ceneselli 45.014722 11.368611 544 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ceregnano 45.053056 11.872500 545 0 0 0 0 0 0 0 0 0 6 6 0 0 0 10
Corbola 45.008056 12.078611 546 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
CostadiRovigo 45.051389 11.698611 547 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Crespino 44.985833 11.885833 548 0 0 0 0 0 0 0 6 0 28 28 33 50 50 49
Ficarolo 44.955833 11.435833 549 4 4 4 4 76 74 74 74 74 74 74 74 74 74 74
FiessoUmbertiano 44.965000 11.601111 550 0 0 0 0 0 0 0 22 0 23 25 25 67 95 95
FrassinellePolesine 44.996667 11.699722 551 0 0 0 0 0 0 0 0 0 6 6 6 6 6 6
FrattaPolesine 45.030000 11.644722 552 25 14 25 14 14 14 14 14 14 18 23 34 34 39 43
Gaiba 44.948056 11.482778 553 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gavello 45.021944 11.915556 554 0 0 0 0 0 0 0 0 0 8 8 8 12 12 12
GiaccianoconBaruchella 45.067778 11.451111 555 0 0 0 0 0 0 0 0 0 9 9 9 9 9 13
GuardaVeneta 44.982222 11.802778 556 0 0 0 0 0 0 0 0 0 6 6 6 6 6 6
Lendinara 45.085000 11.599722 557 12 12 12 12 12 12 12 3 12 9 9 30 30 37 47
Loreo 45.063333 12.189444 558 43 45 45 119 119 119 119 126 119 144 144 144 162 162 144
Lusia 45.101667 11.663611 559 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Melara 45.065278 11.198056 560 5 5 5 5 5 5 5 5 5 17 17 33 33 28 28
Occhiobello 44.921944 11.580000 561 151 158 156 167 167 368 369 369 369 411 420 398 404 404 424
Papozze 44.986944 12.030000 562 0 0 0 0 0 0 100 110 100 100 76 153 153 157 157
PettorazzaGrimani 45.137778 11.992500 563 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Pincara 44.994444 11.610833 564 0 0 0 0 0 0 0 0 0 0 0 0 5 5 5
Polesella 44.967222 11.749722 565 48 47 47 47 50 50 52 52 52 53 53 53 62 62 66
PontecchioPolesine 45.020833 11.812222 566 0 0 0 5 5 5 5 6 5 6 6 6 6 6 6
PortoTolle 44.952778 12.333056 567 1350 1305 1389 1395 1495 1511 1503 1544 1503 1668 455 1961 2078 2716 2745
Rosolina 45.077222 12.246944 568 21870 22329 22374 22355 22277 23097 22043 21777 22043 20814 21381 22766 22626 21687 22873
Rovigo 45.072500 11.792778 569 349 266 365 385 403 463 466 474 466 534 756 755 757 751 816
Salara 44.987500 11.426944 570 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SanBellino 45.029444 11.590556 571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
SanMartinodiVenezze 45.132222 11.871111 572 0 0 16 16 16 16 16 16 16 28 58 58 72 72 72
Stienta 44.940556 11.544444 573 5 5 5 5 5 5 5 5 5 5 5 5 9 9 9
TagliodiPo 45.010000 12.208333 574 131 139 165 180 180 180 176 257 176 276 282 282 307 317 317
Trecenta 45.030833 11.461667 575 44 20 52 52 32 67 67 67 67 86 96 75 103 103 103
Villadose 45.073056 11.892222 576 15 15 15 15 15 27 12 30 12 18 18 24 24 24 24
Villamarzana 45.015000 11.693611 577 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0
VillanovadelGhebbo 45.059722 11.645278 578 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
VillanovaMarchesana 44.990556 11.978611 579 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PortoViro 45.016667 12.216667 580 106 152 200 229 248 255 266 266 266 233 225 241 216 203 225
